"Duration","Start Time","Profile Name","Country","Bookmark","Latest Bookmark","Supplemental Video Type","Attributes","Device Type","Title"
"00:47:32","2025-09-24 00:53:45","example.user","CA (Canada)","00:47:38","00:47:38","","","Roku Example Set Top Box","The Sandman: Season 2: More Devils Than Vast Hell Can Hold (Episode 3)"
"00:48:48","2025-09-24 00:03:45","example.user","CA (Canada)","00:47:35","00:47:35","","Autoplayed: user action: User_Interaction; ","Roku Example Set Top Box","The Sandman: Season 2: The Ruler of Hell (Episode 2)"
